YearStart,YearEnd,LocationAbbr,LocationDesc,Topic,Question
2017,2017,FL,Florida,Alcohol,Chronic liver disease mortality
2017,2017,AK,Alaska,Alcohol,Binge drinking prevalence among youth
2012,2012,CA,California,Alcohol,Chronic liver disease mortality
2012,2012,IL,Illinois,Alcohol,Chronic liver disease mortality
2015,2015,WV,West Virginia,Alcohol,Alcohol use before pregnancy
2020,2020,AL,Alabama,Alcohol,Chronic liver disease mortality
2013,2013,ME,Maine,Alcohol,Alcohol use among youth
2018,2018,ME,Maine,Alcohol,Alcohol use before pregnancy
2017,2017,NJ,New Jersey,Alcohol,Alcohol use among youth
2012,2012,KS,Kansas,Alcohol,Chronic liver disease mortality
2019,2019,DE,Delaware,Alcohol,Alcohol use among youth
2017,2017,IA,Iowa,Alcohol,Chronic liver disease mortality
2018,2018,DE,Delaware,Alcohol,Chronic liver disease mortality
2020,2020,PR,Puerto Rico,Alcohol,Local authority to regulate alcohol outlet density
2018,2018,AR,Arkansas,Alcohol,Alcohol use before pregnancy
2012,2012,FL,Florida,Alcohol,Chronic liver disease mortality
2019,2019,NC,North Carolina,Alcohol,Binge drinking prevalence among youth
2018,2018,DC,District of Columbia,Alcohol,Alcohol use before pregnancy
2017,2017,AR,Arkansas,Alcohol,Alcohol use among youth
2017,2017,TN,Tennessee,Alcohol,Alcohol use among youth
2017,2017,WV,West Virginia,Alcohol,Binge drinking prevalence among youth
2011,2011,CT,Connecticut,Alcohol,Chronic liver disease mortality
2013,2013,OR,Oregon,Alcohol,Chronic liver disease mortality
2012,2012,NC,North Carolina,Alcohol,Chronic liver disease mortality
2011,2011,ID,Idaho,Alcohol,Chronic liver disease mortality
2018,2018,NM,New Mexico,Alcohol,Chronic liver disease mortality
2016,2016,MO,Missouri,Alcohol,Chronic liver disease mortality
2016,2016,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2014,2014,NV,Nevada,Alcohol,Chronic liver disease mortality
2017,2017,AR,Arkansas,Alcohol,Chronic liver disease mortality
2020,2020,AZ,Arizona,Alcohol,Alcohol use before pregnancy
2018,2018,MO,Missouri,Alcohol,Chronic liver disease mortality
2019,2019,OR,Oregon,Alcohol,Binge drinking prevalence among youth
2015,2015,MA,Massachusetts,Alcohol,Alcohol use before pregnancy
2017,2017,NE,Nebraska,Alcohol,Alcohol use among youth
2017,2017,CT,Connecticut,Alcohol,Alcohol use among youth
2010,2010,NV,Nevada,Alcohol,Chronic liver disease mortality
2019,2019,OH,Ohio,Alcohol,Chronic liver disease mortality
2010,2010,ME,Maine,Alcohol,Chronic liver disease mortality
2018,2018,NE,Nebraska,Alcohol,Chronic liver disease mortality
2017,2017,NV,Nevada,Alcohol,Alcohol use among youth
2010,2010,DE,Delaware,Alcohol,Chronic liver disease mortality
2012,2012,NM,New Mexico,Alcohol,Chronic liver disease mortality
2011,2011,NC,North Carolina,Alcohol,Chronic liver disease mortality
2015,2015,ME,Maine,Alcohol,Alcohol use among youth
2018,2018,VA,Virginia,Alcohol,Alcohol use before pregnancy
2019,2019,NE,Nebraska,Alcohol,Binge drinking prevalence among youth
2019,2019,ME,Maine,Alcohol,Chronic liver disease mortality
2017,2017,DE,Delaware,Alcohol,Alcohol use among youth
2014,2014,ND,North Dakota,Alcohol,Chronic liver disease mortality
2015,2015,IL,Illinois,Alcohol,Alcohol use among youth
2018,2018,MT,Montana,Alcohol,Chronic liver disease mortality
2013,2013,NJ,New Jersey,Alcohol,Alcohol use before pregnancy
2019,2019,GA,Georgia,Alcohol,Alcohol use among youth
2020,2020,UT,Utah,Alcohol,Alcohol use before pregnancy
2018,2018,FL,Florida,Alcohol,Alcohol use before pregnancy
2015,2015,CO,Colorado,Alcohol,Chronic liver disease mortality
2011,2011,MI,Michigan,Alcohol,Chronic liver disease mortality
2016,2016,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2014,2014,OK,Oklahoma,Alcohol,Chronic liver disease mortality
2010,2010,OR,Oregon,Alcohol,Chronic liver disease mortality
2016,2016,AK,Alaska,Alcohol,Alcohol use before pregnancy
2012,2012,IA,Iowa,Alcohol,Chronic liver disease mortality
2018,2018,DC,District of Columbia,Alcohol,Chronic liver disease mortality
2015,2015,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2016,2016,IL,Illinois,Alcohol,Chronic liver disease mortality
2018,2018,CT,Connecticut,Alcohol,Chronic liver disease mortality
2020,2020,OK,Oklahoma,Alcohol,Chronic liver disease mortality
2010,2010,NJ,New Jersey,Alcohol,Chronic liver disease mortality
2019,2019,WY,Wyoming,Alcohol,Binge drinking prevalence among youth
2019,2019,VT,Vermont,Alcohol,Alcohol use among youth
2016,2016,WV,West Virginia,Alcohol,Alcohol use before pregnancy
2018,2018,NE,Nebraska,Alcohol,Alcohol use before pregnancy
2017,2017,MA,Massachusetts,Alcohol,Alcohol use before pregnancy
2019,2019,SC,South Carolina,Alcohol,Alcohol use among youth
2017,2017,ND,North Dakota,Alcohol,Binge drinking prevalence among youth
2018,2018,GA,Georgia,Alcohol,Chronic liver disease mortality
2013,2013,KY,Kentucky,Alcohol,Chronic liver disease mortality
2013,2013,ID,Idaho,Alcohol,Alcohol use among youth
2017,2017,UT,Utah,Alcohol,Alcohol use among youth
2011,2011,IA,Iowa,Alcohol,Chronic liver disease mortality
2017,2017,WV,West Virginia,Alcohol,Alcohol use before pregnancy
2017,2017,KS,Kansas,Alcohol,Chronic liver disease mortality
2012,2012,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2020,2020,IL,Illinois,Alcohol,Chronic liver disease mortality
2019,2019,VT,Vermont,Alcohol,Alcohol use before pregnancy
2011,2011,AL,Alabama,Alcohol,Chronic liver disease mortality
2019,2019,TX,Texas,Alcohol,Binge drinking prevalence among youth
2019,2019,ID,Idaho,Alcohol,Binge drinking prevalence among youth
2018,2018,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2015,2015,OK,Oklahoma,Alcohol,Chronic liver disease mortality
2015,2015,AZ,Arizona,Alcohol,Alcohol use among youth
2013,2013,IN,Indiana,Alcohol,Alcohol use among youth
2013,2013,KS,Kansas,Alcohol,Chronic liver disease mortality
2017,2017,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2013,2013,AZ,Arizona,Alcohol,Chronic liver disease mortality
2011,2011,CT,Connecticut,Alcohol,Chronic liver disease mortality
2014,2014,IA,Iowa,Alcohol,Chronic liver disease mortality
2019,2019,NY,New York,Alcohol,Binge drinking prevalence among youth
2018,2018,MI,Michigan,Alcohol,Chronic liver disease mortality
2017,2017,ME,Maine,Alcohol,Chronic liver disease mortality
2017,2017,OK,Oklahoma,Alcohol,Binge drinking prevalence among youth
2011,2011,AL,Alabama,Alcohol,Chronic liver disease mortality
2016,2016,CO,Colorado,Alcohol,Chronic liver disease mortality
2020,2020,ID,Idaho,Alcohol,Chronic liver disease mortality
2020,2020,LA,Louisiana,Alcohol,Chronic liver disease mortality
2016,2016,NM,New Mexico,Alcohol,Chronic liver disease mortality
2017,2017,NY,New York,Alcohol,Alcohol use among youth
2013,2013,IN,Indiana,Alcohol,Chronic liver disease mortality
2013,2013,AL,Alabama,Alcohol,Alcohol use among youth
2019,2019,LA,Louisiana,Alcohol,Chronic liver disease mortality
2017,2017,NJ,New Jersey,Alcohol,Chronic liver disease mortality
2013,2013,MN,Minnesota,Alcohol,Chronic liver disease mortality
2017,2017,NJ,New Jersey,Alcohol,Chronic liver disease mortality
2010,2010,GA,Georgia,Alcohol,Chronic liver disease mortality
2017,2017,IA,Iowa,Alcohol,Alcohol use among youth
2017,2017,VT,Vermont,Alcohol,Binge drinking prevalence among youth
2018,2018,ID,Idaho,Alcohol,Chronic liver disease mortality
2013,2013,OR,Oregon,Alcohol,Chronic liver disease mortality
2015,2015,IN,Indiana,Alcohol,Chronic liver disease mortality
2017,2017,NC,North Carolina,Alcohol,Chronic liver disease mortality
2017,2017,OH,Ohio,Alcohol,Chronic liver disease mortality
2017,2017,AR,Arkansas,Alcohol,Binge drinking prevalence among youth
2019,2019,PA,Pennsylvania,Alcohol,Alcohol use among youth
2020,2020,ID,Idaho,Alcohol,Chronic liver disease mortality
2014,2014,ND,North Dakota,Alcohol,Chronic liver disease mortality
2018,2018,WA,Washington,Alcohol,Alcohol use before pregnancy
2019,2019,MN,Minnesota,Alcohol,Chronic liver disease mortality
2019,2019,AR,Arkansas,Alcohol,Chronic liver disease mortality
2019,2019,AZ,Arizona,Alcohol,Chronic liver disease mortality
2019,2019,NM,New Mexico,Alcohol,Chronic liver disease mortality
2013,2013,WV,West Virginia,Alcohol,Alcohol use before pregnancy
2014,2014,ID,Idaho,Alcohol,Chronic liver disease mortality
2020,2020,NV,Nevada,Alcohol,Chronic liver disease mortality
2010,2010,OK,Oklahoma,Alcohol,Chronic liver disease mortality
2011,2011,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2019,2019,AL,Alabama,Alcohol,Chronic liver disease mortality
2012,2012,NY,New York,Alcohol,Chronic liver disease mortality
2014,2014,IA,Iowa,Alcohol,Chronic liver disease mortality
2015,2015,MT,Montana,Alcohol,Alcohol use among youth
2013,2013,ND,North Dakota,Alcohol,Chronic liver disease mortality
2019,2019,MD,Maryland,Alcohol,Alcohol use among youth
2013,2013,MD,Maryland,Alcohol,Chronic liver disease mortality
2015,2015,NE,Nebraska,Alcohol,Alcohol use before pregnancy
2017,2017,WA,Washington,Alcohol,Alcohol use before pregnancy
2020,2020,NM,New Mexico,Alcohol,Chronic liver disease mortality
2018,2018,AL,Alabama,Alcohol,Chronic liver disease mortality
2011,2011,NM,New Mexico,Alcohol,Chronic liver disease mortality
2017,2017,NH,New Hampshire,Alcohol,Alcohol use among youth
2015,2015,RI,Rhode Island,Alcohol,Alcohol use among youth
2017,2017,NY,New York,Alcohol,Chronic liver disease mortality
2015,2015,WI,Wisconsin,Alcohol,Alcohol use before pregnancy
2016,2016,OR,Oregon,Alcohol,Chronic liver disease mortality
2011,2011,AR,Arkansas,Alcohol,Chronic liver disease mortality
2020,2020,DE,Delaware,Alcohol,Chronic liver disease mortality
2010,2010,KS,Kansas,Alcohol,Chronic liver disease mortality
2015,2015,TN,Tennessee,Alcohol,Binge drinking prevalence among youth
2015,2015,TN,Tennessee,Alcohol,Alcohol use before pregnancy
2015,2015,NC,North Carolina,Alcohol,Chronic liver disease mortality
2019,2019,DC,District of Columbia,Alcohol,Chronic liver disease mortality
2020,2020,PA,Pennsylvania,Alcohol,Alcohol use before pregnancy
2019,2019,FL,Florida,Alcohol,Chronic liver disease mortality
2010,2010,ND,North Dakota,Alcohol,Chronic liver disease mortality
2011,2011,ND,North Dakota,Alcohol,Chronic liver disease mortality
2017,2017,RI,Rhode Island,Alcohol,Alcohol use among youth
2014,2014,AZ,Arizona,Alcohol,Local authority to regulate alcohol outlet density
2019,2019,CO,Colorado,Alcohol,Alcohol use before pregnancy
2013,2013,VA,Virginia,Alcohol,Alcohol use among youth
2019,2019,ME,Maine,Alcohol,Alcohol use before pregnancy
2016,2016,WI,Wisconsin,Alcohol,Alcohol use before pregnancy
2010,2010,AZ,Arizona,Alcohol,Chronic liver disease mortality
2013,2013,NV,Nevada,Alcohol,Chronic liver disease mortality
2020,2020,AL,Alabama,Alcohol,Chronic liver disease mortality
2019,2019,PA,Pennsylvania,Alcohol,Binge drinking prevalence among youth
2019,2019,US,United States,Alcohol,Binge drinking prevalence among youth
2010,2010,NV,Nevada,Alcohol,Chronic liver disease mortality
2010,2010,KS,Kansas,Alcohol,Chronic liver disease mortality
2011,2011,NY,New York,Alcohol,Chronic liver disease mortality
2017,2017,NC,North Carolina,Alcohol,Alcohol use among youth
2017,2017,VT,Vermont,Alcohol,Alcohol use among youth
2019,2019,ME,Maine,Alcohol,Binge drinking prevalence among youth
2015,2015,PA,Pennsylvania,Alcohol,Alcohol use among youth
2018,2018,CA,California,Alcohol,Chronic liver disease mortality
2013,2013,MS,Mississippi,Alcohol,Alcohol use before pregnancy
2017,2017,NJ,New Jersey,Alcohol,Alcohol use before pregnancy
2011,2011,AR,Arkansas,Alcohol,Chronic liver disease mortality
2010,2010,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2013,2013,AK,Alaska,Alcohol,Chronic liver disease mortality
2017,2017,NV,Nevada,Alcohol,Chronic liver disease mortality
2020,2020,KS,Kansas,Alcohol,Chronic liver disease mortality
2011,2011,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2013,2013,UT,Utah,Alcohol,Alcohol use before pregnancy
2015,2015,OK,Oklahoma,Alcohol,Chronic liver disease mortality
2011,2011,ID,Idaho,Alcohol,Chronic liver disease mortality
2015,2015,MO,Missouri,Alcohol,Chronic liver disease mortality
2013,2013,UT,Utah,Alcohol,Alcohol use among youth
2013,2013,ND,North Dakota,Alcohol,Chronic liver disease mortality
2013,2013,KY,Kentucky,Alcohol,Chronic liver disease mortality
2014,2014,HI,Hawaii,Alcohol,Chronic liver disease mortality
2017,2017,KY,Kentucky,Alcohol,Binge drinking prevalence among youth
2018,2018,OK,Oklahoma,Alcohol,Alcohol use before pregnancy
2015,2015,AR,Arkansas,Alcohol,Chronic liver disease mortality
2013,2013,TX,Texas,Alcohol,Alcohol use among youth
2013,2013,FL,Florida,Alcohol,Chronic liver disease mortality
2019,2019,IL,Illinois,Alcohol,Chronic liver disease mortality
2010,2010,FL,Florida,Alcohol,Chronic liver disease mortality
2018,2018,WV,West Virginia,Alcohol,Alcohol use before pregnancy
2017,2017,VT,Vermont,Alcohol,Alcohol use before pregnancy
2018,2018,ME,Maine,Alcohol,Chronic liver disease mortality
2015,2015,NH,New Hampshire,Alcohol,Alcohol use before pregnancy
2019,2019,CT,Connecticut,Alcohol,Alcohol use among youth
2010,2010,LA,Louisiana,Alcohol,Chronic liver disease mortality
2020,2020,CA,California,Alcohol,Chronic liver disease mortality
2019,2019,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2015,2015,HI,Hawaii,Alcohol,Chronic liver disease mortality
2017,2017,NM,New Mexico,Alcohol,Chronic liver disease mortality
2019,2019,CT,Connecticut,Alcohol,Alcohol use among youth
2020,2020,KY,Kentucky,Alcohol,Local authority to regulate alcohol outlet density
2013,2013,TN,Tennessee,Alcohol,Alcohol use before pregnancy
2016,2016,MN,Minnesota,Alcohol,Chronic liver disease mortality
2013,2013,NC,North Carolina,Alcohol,Chronic liver disease mortality
2017,2017,US,United States,Alcohol,Alcohol use among youth
2017,2017,OH,Ohio,Alcohol,Binge drinking prevalence among youth
2013,2013,NM,New Mexico,Alcohol,Chronic liver disease mortality
2013,2013,IA,Iowa,Alcohol,Chronic liver disease mortality
2012,2012,ID,Idaho,Alcohol,Chronic liver disease mortality
2014,2014,IL,Illinois,Alcohol,Chronic liver disease mortality
2018,2018,MN,Minnesota,Alcohol,Alcohol use before pregnancy
2020,2020,AZ,Arizona,Alcohol,Chronic liver disease mortality
2017,2017,NV,Nevada,Alcohol,Chronic liver disease mortality
2014,2014,MD,Maryland,Alcohol,Chronic liver disease mortality
2018,2018,FL,Florida,Alcohol,Chronic liver disease mortality
2014,2014,NH,New Hampshire,Alcohol,Alcohol use before pregnancy
2019,2019,FL,Florida,Alcohol,Chronic liver disease mortality
2011,2011,IL,Illinois,Alcohol,Chronic liver disease mortality
2016,2016,CO,Colorado,Alcohol,Chronic liver disease mortality
2016,2016,AR,Arkansas,Alcohol,Chronic liver disease mortality
2019,2019,KY,Kentucky,Alcohol,Chronic liver disease mortality
2018,2018,NM,New Mexico,Alcohol,Chronic liver disease mortality
2019,2019,UT,Utah,Alcohol,Binge drinking prevalence among youth
2017,2017,GA,Georgia,Alcohol,Chronic liver disease mortality
2017,2017,MO,Missouri,Alcohol,Chronic liver disease mortality
2015,2015,MI,Michigan,Alcohol,Alcohol use before pregnancy
2010,2010,MT,Montana,Alcohol,Chronic liver disease mortality
2012,2012,MN,Minnesota,Alcohol,Chronic liver disease mortality
2012,2012,NE,Nebraska,Alcohol,Chronic liver disease mortality
2017,2017,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2012,2012,OK,Oklahoma,Alcohol,Alcohol use before pregnancy
2014,2014,ND,North Dakota,Alcohol,Chronic liver disease mortality
2012,2012,MD,Maryland,Alcohol,Chronic liver disease mortality
2010,2010,NC,North Carolina,Alcohol,Chronic liver disease mortality
2015,2015,DE,Delaware,Alcohol,Chronic liver disease mortality
2019,2019,VT,Vermont,Alcohol,Alcohol use before pregnancy
2019,2019,AL,Alabama,Alcohol,Binge drinking prevalence among youth
2015,2015,NE,Nebraska,Alcohol,Alcohol use among youth
2015,2015,CT,Connecticut,Alcohol,Chronic liver disease mortality
2019,2019,IA,Iowa,Alcohol,Chronic liver disease mortality
2020,2020,NC,North Carolina,Alcohol,Chronic liver disease mortality
2019,2019,VA,Virginia,Alcohol,Binge drinking prevalence among youth
2013,2013,IL,Illinois,Alcohol,Alcohol use before pregnancy
2013,2013,KS,Kansas,Alcohol,Alcohol use before pregnancy
2016,2016,CA,California,Alcohol,Chronic liver disease mortality
2016,2016,NY,New York,Alcohol,Chronic liver disease mortality
2011,2011,KS,Kansas,Alcohol,Chronic liver disease mortality
2010,2010,HI,Hawaii,Alcohol,Chronic liver disease mortality
2018,2018,ND,North Dakota,Alcohol,Chronic liver disease mortality
2017,2017,VI,Virgin Islands,Alcohol,Alcohol use among youth
2020,2020,WV,West Virginia,Alcohol,Alcohol use before pregnancy
2013,2013,ID,Idaho,Alcohol,Chronic liver disease mortality
2013,2013,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2015,2015,ME,Maine,Alcohol,Chronic liver disease mortality
2012,2012,FL,Florida,Alcohol,Chronic liver disease mortality
2019,2019,KS,Kansas,Alcohol,Chronic liver disease mortality
2013,2013,MS,Mississippi,Alcohol,Chronic liver disease mortality
2012,2012,GA,Georgia,Alcohol,Chronic liver disease mortality
2014,2014,NJ,New Jersey,Alcohol,Chronic liver disease mortality
2015,2015,DC,District of Columbia,Alcohol,Chronic liver disease mortality
2010,2010,DC,District of Columbia,Alcohol,Chronic liver disease mortality
2015,2015,DC,District of Columbia,Alcohol,Chronic liver disease mortality
2011,2011,MD,Maryland,Alcohol,Chronic liver disease mortality
2017,2017,AK,Alaska,Alcohol,Chronic liver disease mortality
2012,2012,OH,Ohio,Alcohol,Chronic liver disease mortality
2020,2020,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2016,2016,KS,Kansas,Alcohol,Chronic liver disease mortality
2019,2019,NY,New York,Alcohol,Alcohol use among youth
2011,2011,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2017,2017,GU,Guam,Alcohol,Alcohol use among youth
2017,2017,ME,Maine,Alcohol,Alcohol use before pregnancy
2015,2015,MT,Montana,Alcohol,Chronic liver disease mortality
2019,2019,AL,Alabama,Alcohol,Alcohol use before pregnancy
2019,2019,NJ,New Jersey,Alcohol,Chronic liver disease mortality
2014,2014,CT,Connecticut,Alcohol,Chronic liver disease mortality
2020,2020,MT,Montana,Alcohol,Chronic liver disease mortality
2015,2015,NE,Nebraska,Alcohol,Chronic liver disease mortality
2017,2017,DC,District of Columbia,Alcohol,Binge drinking prevalence among youth
2016,2016,AZ,Arizona,Alcohol,Chronic liver disease mortality
2018,2018,ND,North Dakota,Alcohol,Alcohol use before pregnancy
2012,2012,WY,Wyoming,Alcohol,Alcohol use before pregnancy
2013,2013,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2020,2020,AR,Arkansas,Alcohol,Chronic liver disease mortality
2013,2013,NE,Nebraska,Alcohol,Alcohol use before pregnancy
2011,2011,AK,Alaska,Alcohol,Chronic liver disease mortality
2016,2016,OR,Oregon,Alcohol,Chronic liver disease mortality
2011,2011,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2012,2012,NY,New York,Alcohol,Alcohol use before pregnancy
2020,2020,MO,Missouri,Alcohol,Alcohol use before pregnancy
2014,2014,TN,Tennessee,Alcohol,Alcohol use before pregnancy
2017,2017,PR,Puerto Rico,Alcohol,Alcohol use before pregnancy
2015,2015,MI,Michigan,Alcohol,Chronic liver disease mortality
2015,2015,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2018,2018,GA,Georgia,Alcohol,Chronic liver disease mortality
2019,2019,RI,Rhode Island,Alcohol,Alcohol use before pregnancy
2011,2011,OK,Oklahoma,Alcohol,Chronic liver disease mortality
2013,2013,HI,Hawaii,Alcohol,Alcohol use among youth
2012,2012,NY,New York,Alcohol,Alcohol use before pregnancy
2017,2017,KY,Kentucky,Alcohol,Chronic liver disease mortality
2016,2016,KS,Kansas,Alcohol,Chronic liver disease mortality
2013,2013,NV,Nevada,Alcohol,Chronic liver disease mortality
2013,2013,NE,Nebraska,Alcohol,Chronic liver disease mortality
2019,2019,FL,Florida,Alcohol,Binge drinking prevalence among youth
2014,2014,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2018,2018,NY,New York,Alcohol,Chronic liver disease mortality
2013,2013,NE,Nebraska,Alcohol,Alcohol use before pregnancy
2020,2020,DC,District of Columbia,Alcohol,Chronic liver disease mortality
2014,2014,UT,Utah,Alcohol,Local authority to regulate alcohol outlet density
2013,2013,FL,Florida,Alcohol,Binge drinking prevalence among youth
2016,2016,IA,Iowa,Alcohol,Chronic liver disease mortality
2018,2018,KY,Kentucky,Alcohol,Alcohol use before pregnancy
2015,2015,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2016,2016,ME,Maine,Alcohol,Chronic liver disease mortality
2018,2018,OH,Ohio,Alcohol,Chronic liver disease mortality
2016,2016,AZ,Arizona,Alcohol,Chronic liver disease mortality
2014,2014,AR,Arkansas,Alcohol,Chronic liver disease mortality
2016,2016,MD,Maryland,Alcohol,Alcohol use before pregnancy
2016,2016,KY,Kentucky,Alcohol,Chronic liver disease mortality
2019,2019,NE,Nebraska,Alcohol,Chronic liver disease mortality
2012,2012,MO,Missouri,Alcohol,Chronic liver disease mortality
2020,2020,HI,Hawaii,Alcohol,Chronic liver disease mortality
2018,2018,SC,South Carolina,Alcohol,Alcohol use before pregnancy
2013,2013,MI,Michigan,Alcohol,Alcohol use before pregnancy
2019,2019,VI,Virgin Islands,Alcohol,Alcohol use among youth
2017,2017,NJ,New Jersey,Alcohol,Binge drinking prevalence among youth
2013,2013,VI,Virgin Islands,Alcohol,Alcohol use among youth
2010,2010,IA,Iowa,Alcohol,Chronic liver disease mortality
2012,2012,MD,Maryland,Alcohol,Chronic liver disease mortality
2016,2016,MS,Mississippi,Alcohol,Chronic liver disease mortality
2013,2013,IA,Iowa,Alcohol,Chronic liver disease mortality
2011,2011,DE,Delaware,Alcohol,Chronic liver disease mortality
2019,2019,CT,Connecticut,Alcohol,Chronic liver disease mortality
2010,2010,MD,Maryland,Alcohol,Chronic liver disease mortality
2015,2015,OR,Oregon,Alcohol,Chronic liver disease mortality
2020,2020,DE,Delaware,Alcohol,Chronic liver disease mortality
2011,2011,IA,Iowa,Alcohol,Chronic liver disease mortality
2015,2015,AL,Alabama,Alcohol,Chronic liver disease mortality
2020,2020,ND,North Dakota,Alcohol,Chronic liver disease mortality
2013,2013,CO,Colorado,Alcohol,Chronic liver disease mortality
2020,2020,IA,Iowa,Alcohol,Chronic liver disease mortality
2014,2014,OR,Oregon,Alcohol,Chronic liver disease mortality
2019,2019,TN,Tennessee,Alcohol,Alcohol use before pregnancy
2013,2013,WV,West Virginia,Alcohol,Alcohol use among youth
2014,2014,NM,New Mexico,Alcohol,Chronic liver disease mortality
2016,2016,ND,North Dakota,Alcohol,Chronic liver disease mortality
2015,2015,GA,Georgia,Alcohol,Alcohol use among youth
2020,2020,UT,Utah,Alcohol,Alcohol use before pregnancy
2014,2014,WI,Wisconsin,Alcohol,Alcohol use before pregnancy
2017,2017,CO,Colorado,Alcohol,Alcohol use before pregnancy
2020,2020,NY,New York,Alcohol,Chronic liver disease mortality
2019,2019,NV,Nevada,Alcohol,Chronic liver disease mortality
2016,2016,MO,Missouri,Alcohol,Alcohol use before pregnancy
2019,2019,DE,Delaware,Alcohol,Chronic liver disease mortality
2018,2018,MD,Maryland,Alcohol,Chronic liver disease mortality
2011,2011,NY,New York,Alcohol,Chronic liver disease mortality
2015,2015,HI,Hawaii,Alcohol,Chronic liver disease mortality
2013,2013,NH,New Hampshire,Alcohol,Alcohol use among youth
2015,2015,NY,New York,Alcohol,Chronic liver disease mortality
2014,2014,ID,Idaho,Alcohol,Chronic liver disease mortality
2020,2020,AL,Alabama,Alcohol,Alcohol use before pregnancy
2012,2012,CO,Colorado,Alcohol,Chronic liver disease mortality
2019,2019,LA,Louisiana,Alcohol,Alcohol use among youth
2020,2020,GA,Georgia,Alcohol,Chronic liver disease mortality
2015,2015,KY,Kentucky,Alcohol,Chronic liver disease mortality
2013,2013,DE,Delaware,Alcohol,Alcohol use before pregnancy
2012,2012,OK,Oklahoma,Alcohol,Chronic liver disease mortality
2011,2011,ME,Maine,Alcohol,Chronic liver disease mortality
2016,2016,NH,New Hampshire,Alcohol,Alcohol use before pregnancy
2010,2010,IL,Illinois,Alcohol,Chronic liver disease mortality
2011,2011,MO,Missouri,Alcohol,Chronic liver disease mortality
2011,2011,HI,Hawaii,Alcohol,Chronic liver disease mortality
2015,2015,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2020,2020,OK,Oklahoma,Alcohol,Chronic liver disease mortality
2013,2013,OK,Oklahoma,Alcohol,Chronic liver disease mortality
2015,2015,GA,Georgia,Alcohol,Chronic liver disease mortality
2016,2016,GA,Georgia,Alcohol,Chronic liver disease mortality
2013,2013,KS,Kansas,Alcohol,Alcohol use among youth
2014,2014,KS,Kansas,Alcohol,Chronic liver disease mortality
2016,2016,IL,Illinois,Alcohol,Chronic liver disease mortality
2014,2014,NY,New York,Alcohol,Chronic liver disease mortality
2016,2016,ND,North Dakota,Alcohol,Chronic liver disease mortality
2017,2017,GU,Guam,Alcohol,Alcohol use before pregnancy
2010,2010,MD,Maryland,Alcohol,Chronic liver disease mortality
2015,2015,MN,Minnesota,Alcohol,Chronic liver disease mortality
2014,2014,AL,Alabama,Alcohol,Chronic liver disease mortality
2019,2019,ND,North Dakota,Alcohol,Alcohol use before pregnancy
2017,2017,MD,Maryland,Alcohol,Alcohol use before pregnancy
2015,2015,IN,Indiana,Alcohol,Chronic liver disease mortality
2014,2014,DC,District of Columbia,Alcohol,Chronic liver disease mortality
2018,2018,AZ,Arizona,Alcohol,Chronic liver disease mortality
2020,2020,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2010,2010,ME,Maine,Alcohol,Chronic liver disease mortality
2017,2017,NV,Nevada,Alcohol,Alcohol use among youth
2018,2018,KS,Kansas,Alcohol,Chronic liver disease mortality
2020,2020,CO,Colorado,Alcohol,Alcohol use before pregnancy
2019,2019,NM,New Mexico,Alcohol,Binge drinking prevalence among youth
2017,2017,MN,Minnesota,Alcohol,Chronic liver disease mortality
2017,2017,CT,Connecticut,Alcohol,Chronic liver disease mortality
2015,2015,AZ,Arizona,Alcohol,Chronic liver disease mortality
2017,2017,OH,Ohio,Alcohol,Chronic liver disease mortality
2013,2013,MD,Maryland,Alcohol,Chronic liver disease mortality
2017,2017,NE,Nebraska,Alcohol,Binge drinking prevalence among youth
2020,2020,WY,Wyoming,Alcohol,Alcohol use before pregnancy
2011,2011,CT,Connecticut,Alcohol,Chronic liver disease mortality
2019,2019,GA,Georgia,Alcohol,Alcohol use before pregnancy
2016,2016,AR,Arkansas,Alcohol,Chronic liver disease mortality
2015,2015,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2015,2015,OH,Ohio,Alcohol,Chronic liver disease mortality
2020,2020,GA,Georgia,Alcohol,Chronic liver disease mortality
2017,2017,MN,Minnesota,Alcohol,Binge drinking prevalence among youth
2014,2014,DE,Delaware,Alcohol,Chronic liver disease mortality
